,City,Cloudiness,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
407,Moose Factory,90,1539303060,100,51.26,-80.61,37.4,8.05
408,Abnub,0,1539302400,68,27.27,31.15,66.2,6.93
409,San Angelo,90,1539301860,68,31.46,-100.44,69.98,6.93
410,Kysyl-Syr,92,1539303944,91,63.9,122.77,30.05,6.98
411,Bainbridge,1,1539301980,69,30.9,-84.58,78.98,6.93
412,Nemuro,75,1539301440,93,43.32,145.57,57.2,1.12
413,College,90,1539302280,99,64.86,-147.8,42.8,4.7
414,Pacific Grove,1,1539302100,48,36.62,-121.92,69.8,10.29
415,De Aar,36,1539303950,23,-30.65,24.01,57.95,7.54
416,Touros,56,1539303951,84,-5.2,-35.46,77.75,14.58
417,Yar-Sale,92,1539303953,100,66.83,70.83,31.85,14.25
418,Huilong,0,1539303887,68,28.89,110.18,46.25,2.17
419,Goderich,64,1539303857,83,43.74,-81.71,51.88,21.74
420,Yeniseysk,36,1539303956,88,58.45,92.17,31.0,5.53
421,Vanimo,64,1539303957,100,-2.67,141.3,82.84,11.79
422,Luunja,90,1539301800,100,58.36,26.88,50.0,4.7
423,Bambanglipuro,56,1539303960,90,-7.95,110.28,73.25,3.4
424,Cabo San Lucas,40,1539301200,54,22.89,-109.91,82.4,17.22
425,Skibbereen,75,1539302400,100,51.55,-9.27,53.6,39.15
426,Ust-Nera,24,1539303964,91,64.57,143.24,9.85,1.72
427,Waingapu,0,1539303965,81,-9.65,120.26,78.43,4.97
428,Lata,0,1539303967,76,30.78,78.62,42.43,2.62
429,Evensk,48,1539303968,100,61.92,159.24,39.73,2.51
430,Tabuk,12,1539303969,91,17.41,121.44,71.14,1.5
431,Riyadh,0,1539298800,33,24.63,46.72,75.2,2.95
432,Quatre Cocos,20,1539302400,64,-20.21,57.76,71.6,11.41
433,Katangli,0,1539303973,100,51.71,143.23,45.58,5.97
434,Road Town,1,1539301980,81,18.42,-64.62,80.06,5.82
435,Saint-Leu,0,1539300600,64,-21.15,55.28,69.8,6.93
436,Moron,75,1539302400,78,10.49,-68.2,78.8,2.51
437,Yangjiang,92,1539303977,100,21.85,111.96,70.42,20.51
438,Silifke,0,1539303979,100,36.38,33.93,56.33,3.4
439,Berdigestyakh,92,1539303981,90,62.1,126.7,31.54,3.96
440,Kiunga,92,1539303982,100,-6.12,141.3,73.66,2.39
441,Osorno,0,1539303984,68,-40.57,-73.14,46.84,5.53
442,Rudnogorsk,48,1539303985,91,57.27,103.75,32.98,5.97
443,Hirara,75,1539300060,88,24.8,125.28,71.6,23.04
444,Takab,12,1539303988,83,36.4,47.11,38.47,1.95
445,Boende,88,1539303989,100,-0.28,20.88,69.47,2.62
446,Majene,0,1539303990,98,-3.54,118.97,82.75,10.22
447,Portsmouth,20,1539301800,93,50.8,-1.08,57.2,16.11
448,Panjab,0,1539303993,77,34.38,67.02,11.29,0.72
449,Zambezi,0,1539303994,64,-13.55,23.12,60.65,1.05
450,Bubaque,40,1539302400,94,11.28,-15.83,73.4,5.82
451,Harrisburg,75,1539302160,90,40.27,-76.89,73.04,6.93
452,Kenai,90,1539302160,65,60.55,-151.26,51.98,8.05
453,Turan,0,1539303999,79,52.15,93.92,21.5,2.95
454,Preobrazheniye,0,1539304000,70,42.9,133.91,44.5,6.53
455,Boa Vista,20,1539298800,52,2.82,-60.67,87.8,9.17
456,Zlotow,0,1539304003,78,53.36,17.04,54.4,10.56
457,Boyabat,80,1539304005,93,41.47,34.77,47.78,1.95
458,Nenjiang,0,1539304006,78,49.17,125.23,40.63,5.75
459,Derzhavinsk,88,1539304007,99,51.1,66.31,44.18,7.76
460,El Tigre,68,1539303868,94,8.89,-64.25,71.77,6.2
461,Barghat,0,1539304010,84,22.03,79.74,66.19,6.98
462,Geraldton,90,1539302400,92,49.72,-86.95,30.2,9.17
463,Okhotsk,0,1539304012,100,59.36,143.24,32.12,6.76
464,Shingu,75,1539298800,67,33.72,135.99,62.6,19.46
465,Mount Gambier,0,1539304015,78,-37.83,140.78,62.72,4.97
466,Jaca,75,1539302400,77,42.57,-0.55,64.4,5.82
467,Batticaloa,92,1539304017,100,7.71,81.69,76.22,3.51
468,Merauke,44,1539304018,75,-8.49,140.4,84.05,11.01
469,Whitehorse,75,1539302400,70,60.72,-135.06,42.8,3.36
470,Mayumba,88,1539304021,100,-3.44,10.65,76.0,6.64
471,Klaksvik,92,1539301800,93,62.23,-6.59,50.0,4.7
472,Alta Floresta,8,1539304023,97,-9.87,-56.08,72.8,2.06
473,Bemidji,90,1539303300,73,47.48,-94.89,26.6,8.05
474,Caravelas,24,1539304026,100,-17.73,-39.27,77.44,19.06
475,Masterton,92,1539304028,100,-40.95,175.66,46.57,18.5
476,Manggar,0,1539304030,99,-2.88,108.27,78.47,2.62
477,Cleethorpes,24,1539301800,87,53.56,-0.03,57.2,12.75
478,Champerico,90,1539301560,88,16.38,-93.6,75.2,5.82
479,Coxim,32,1539304034,92,-18.5,-54.75,74.83,2.73
480,Koumra,0,1539304035,82,8.92,17.55,71.45,2.95
481,Barcelona,20,1539302400,88,41.38,2.18,68.0,2.24
482,Nazca,8,1539304038,70,-14.83,-74.94,61.06,2.95
483,Banjar,48,1539304039,88,-7.37,108.54,72.62,2.73
484,Taoudenni,0,1539304040,27,22.68,-3.98,80.72,10.22
485,Podor,0,1539304041,39,16.65,-14.96,79.73,5.19
486,Antofagasta,90,1539298800,87,-23.65,-70.4,59.0,11.41
487,Xinzhi,75,1539300600,78,22.54,120.62,77.0,2.24
488,Karratha,0,1539304046,32,-20.74,116.85,77.75,4.52
489,Zhezkazgan,90,1539300600,49,47.8,67.71,46.4,15.66
490,Pitsunda,32,1539300600,88,43.16,40.34,62.6,11.18
491,Karpathos,0,1539301800,72,35.51,27.21,68.0,23.04
492,Tunceli,75,1539301800,66,39.11,39.55,53.6,1.12
493,Nouadhibou,0,1539302400,83,20.93,-17.03,71.6,13.87
494,Wukari,68,1539304054,85,7.87,9.78,77.8,10.78
495,Luwuk,92,1539304055,100,-0.95,122.79,77.48,3.51
496,Klyuchi,0,1539304057,69,52.25,79.17,42.25,12.12
497,Kurchatov,0,1539304058,64,50.75,78.54,38.92,11.01
498,Kimbe,32,1539304059,98,-5.56,150.15,83.38,2.39
499,Abdulino,92,1539304061,68,53.68,53.66,38.83,12.68
500,Winchester,76,1539301800,87,51.06,-1.31,57.2,14.99
501,Luanda,40,1539302400,88,-8.83,13.24,73.4,4.7
502,Aksu,0,1539300600,86,52.04,76.93,39.2,8.95
503,Nabire,8,1539304067,86,-3.36,135.5,76.81,2.06
504,New Plymouth,88,1539304069,100,-39.06,174.08,55.03,22.75
